Macrotrends Data Download

India GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,37.029883876184,83.0351,0
1961-12-31,39.232435784036,85.9697,3.7227
1962-12-31,42.161481858082,90.2769,2.9311
1963-12-31,48.421923459123,101.3152,5.9944
1964-12-31,56.48028994099,115.4876,7.453
1965-12-31,59.554854575809,119.0825,-2.6358
1966-12-31,45.865462034286,89.7576,-0.0553
1967-12-31,50.134942204,96.0463,7.826
1968-12-31,53.085455870667,99.5168,3.3879
1969-12-31,58.447995017333,107.1821,6.5397
1970-12-31,62.422483054667,111.9683,5.1572
1971-12-31,67.351404351833,118.1605,1.6429
1972-12-31,71.463193831009,122.6125,-0.5533
1973-12-31,85.5152695854,143.4561,3.2955
1974-12-31,99.525899116054,163.2316,1.1853
1975-12-31,98.472796456884,157.9294,9.1499
1976-12-31,102.7171644664,161.1372,1.6631
1977-12-31,121.48664144131,186.4191,7.2548
1978-12-31,137.3002953133,206.0737,5.7125
1979-12-31,152.99165379377,224.5754,-5.2382
1980-12-31,186.32534508666,267.3906,6.7358
1981-12-31,193.49136844557,271.4261,6.0062
1982-12-31,200.7156248309,275.2661,3.4757
1983-12-31,218.26214641316,292.6446,7.2889
1984-12-31,212.15764517765,278.0954,3.8207
1985-12-31,232.51155484037,297.9992,5.2543
1986-12-31,248.98599404059,312.0598,4.7766
1987-12-31,279.03358409222,342.0719,3.9654
1988-12-31,296.58967089593,355.7384,9.6278
1989-12-31,296.04205294466,347.462,5.9473
1990-12-31,320.97902642004,368.7498,5.5335
1991-12-31,270.10534187923,303.8504,1.0568
1992-12-31,288.20807027801,317.5587,5.4824
1993-12-31,279.29564898253,301.5008,4.7508
1994-12-31,327.27558353,346.2274,6.6589
1995-12-31,360.28190964349,373.6282,7.5745
1996-12-31,392.89686620452,399.5773,7.5495
1997-12-31,415.86756359283,414.8987,4.0498
1998-12-31,421.35131722494,412.5094,6.1844
1999-12-31,458.82041733781,440.9615,8.8458
2000-12-31,468.3949372558,442.0348,3.841
2001-12-31,485.44101453864,449.9111,4.824
2002-12-31,514.93794887421,468.8444,3.804
2003-12-31,607.69928543605,543.8438,7.8604
2004-12-31,709.14851481579,624.1051,7.9229
2005-12-31,820.38159551064,710.5093,7.9234
2006-12-31,940.25988879435,802.0137,8.0607
2007-12-31,1216.7364388424,1022.7325,7.6608
2008-12-31,1198.8951390146,993.5034,3.0867
2009-12-31,1341.8880169844,1096.6361,7.8619
2010-12-31,1675.6155194893,1350.6345,8.4976
2011-12-31,1823.0518299008,1449.6033,5.2413
2012-12-31,1827.6375907872,1434.018,5.4564
2013-12-31,1856.7215076811,1438.057,6.3861
2014-12-31,2039.1264792281,1559.8638,7.4102
2015-12-31,2103.5883600663,1590.1743,7.9963
2016-12-31,2294.7968856825,1714.2795,8.2563
2017-12-31,2651.4742627353,1957.9698,6.7954
2018-12-31,2702.9296417074,1974.3777,6.4539
2019-12-31,2835.606256616,2050.1638,3.8714
2020-12-31,2671.5954059869,1913.2197,-5.8311
2021-12-31,3150.3068391421,2238.1271,9.0503
2022-12-31,3416.6458260529,2410.888,7.2397
